Model,Train Noise,Standard Top1,Standard Top5,Draft Top1,Draft Top5,Draft PPL,Correction,Regression,Net
pretrained_mdlm,pretrained,0.5191138616572649,0.73675995399529,0.09640115071729315,0.23130560688906246,2484.4637076006447,0.07316151126331473,0.7646276595744681,-0.6914661483111534
random_mask_lora_mdlm,random_mask,0.6372213865718583,0.8110761657322576,0.13166568233344128,0.28512640743774886,478.7520289439803,0.10487224532455691,0.7081117021276596,-0.6032394568031028
draft_aware_lora_mdlm,draft_aware,0.5233146451524682,0.7282647340352797,0.20360456476595096,0.37906990036007543,184.50301900900737,0.17854522004047232,0.6484042553191489,-0.46985903527867656
