mode,train_time,step_time,memory_MB,comm_MB,sampling_latency,tokens_per_sec,token_acc,val_loss
device_only,0.1185073199449107,0.0029626829986227677,0.0,0.0,0.0036067130276933312,6654.258272205585,0.056338028169014086,4.361565351486206
edge_only,0.22840419900603592,0.005710104975150898,0.0,0.0,0.0054576529655605555,4397.494701742173,0.0379746835443038,4.316232442855835
collaborative,0.3792285929666832,0.00948071482416708,0.0,0.02846527099609375,0.0030753971077501774,7803.87025126564,0.029850746268656716,4.216174125671387
