align_loss,coarse_comm_MB_per_batch,compression_ratio,device_loss,device_token_acc,edge_loss,gpu_memory_MB,loss,step,step_time,token_acc,val_loss,val_token_acc
0.559581458568573,0.25,6.0,11.10122013092041,0.0,10.980484962463379,1549.51611328125,13.25668716430664,1,0.43359706294722855,0.0,,
0.529039204120636,0.25,6.0,11.08370590209961,0.0,10.74539852142334,1698.41015625,13.015044212341309,2,0.03057086595799774,0.0,,
0.4958984851837158,0.25,6.0,11.0237398147583,0.0,10.444842338562012,1698.41015625,12.699180603027344,3,0.028854366042651236,0.034591194242239,,
0.47753390669822693,0.25,6.0,10.984010696411133,0.0,10.413239479064941,1698.43798828125,12.657794952392578,4,0.028648043982684612,0.024390244856476784,,
0.46316826343536377,0.25,6.0,10.85261344909668,0.0,10.065153121948242,1698.43798828125,12.28199291229248,5,0.028803828987292945,0.05723905563354492,,
0.4539545476436615,0.25,6.0,10.943285942077637,0.0,10.044388771057129,1698.44140625,12.2784423828125,6,0.028792814002372324,0.049833886325359344,,
0.44227924942970276,0.25,6.0,10.861649513244629,0.0,9.889477729797363,1698.44482421875,12.106035232543945,7,0.02858785295393318,0.05300353467464447,,
0.42668417096138,0.25,6.0,10.828007698059082,0.0,9.901557922363281,1698.89453125,12.109827995300293,8,0.028773293015547097,0.01796407252550125,,
0.40718334913253784,0.25,6.0,10.780661582946777,0.0,9.737954139709473,1698.89453125,11.934804916381836,9,0.02898061601445079,0.055737704038619995,,
0.3979558050632477,0.25,6.0,10.755955696105957,0.0,9.470681190490723,1698.89453125,11.66166877746582,10,0.028891621972434223,0.04746835678815842,,
0.3703280985355377,0.25,6.0,10.662740707397461,0.0,9.623640060424805,1698.89453125,11.793221473693848,11,0.029034981038421392,0.051369860768318176,,
0.3532832860946655,0.25,6.0,10.650514602661133,0.0,9.557910919189453,1699.19970703125,11.723341941833496,12,0.029129003058187664,0.029702970758080482,,
0.3325740396976471,0.25,6.0,10.5635404586792,0.0,9.124137878417969,1699.19970703125,11.270103454589844,13,0.029483961989171803,0.06020066887140274,,
0.308339387178421,0.25,6.0,10.632887840270996,0.0,9.254454612731934,1700.45263671875,11.411866188049316,14,0.02956699102651328,0.04113924130797386,,
0.2883751690387726,0.25,6.0,10.550230026245117,0.0,9.260232925415039,1700.45263671875,11.399116516113281,15,0.029687135946005583,0.0477815680205822,,
0.27267158031463623,0.25,6.0,10.563111305236816,0.006557377055287361,9.345332145690918,1700.45263671875,11.485221862792969,16,0.029883278999477625,0.03934426233172417,,
0.24891270697116852,0.25,6.0,10.42618465423584,0.0,9.151034355163574,1700.45263671875,11.261161804199219,17,0.030027828994207084,0.032894738018512726,,
0.2357407659292221,0.25,6.0,10.393848419189453,0.00671140942722559,8.872820854187012,1700.45263671875,10.975164413452148,18,0.029550492065027356,0.0469798669219017,,
0.21450300514698029,0.25,6.0,10.348546028137207,0.01607717014849186,8.629483222961426,1700.45263671875,10.72064208984375,19,0.02978249394800514,0.03536977618932724,,
0.20166821777820587,0.25,6.0,10.210906028747559,0.04040404036641121,8.421232223510742,1700.45263671875,10.483579635620117,20,0.029840564006008208,0.047138046473264694,,
0.19029277563095093,0.25,6.0,10.319329261779785,0.03050847351551056,8.745017051696777,1700.45263671875,10.827912330627441,21,0.029758621007204056,0.04406779631972313,,
0.1750066876411438,0.25,6.0,10.34123706817627,0.013513513840734959,8.986154556274414,1700.45263671875,11.071903228759766,22,0.029784337035380304,0.03378378599882126,,
0.16298259794712067,0.25,6.0,10.073918342590332,0.0573248416185379,8.317610740661621,1700.45263671875,10.348692893981934,23,0.02993637800682336,0.03503184765577316,,
0.14813491702079773,0.25,6.0,10.160819053649902,0.03642383962869644,8.416753768920898,1700.45263671875,10.463730812072754,24,0.02970317704603076,0.0397351011633873,,
0.13644900918006897,0.25,6.0,10.181782722473145,0.03618421033024788,8.473237991333008,1700.45263671875,10.523240089416504,25,0.029979381943121552,0.042763158679008484,,
0.12400205433368683,0.25,6.0,10.06556224822998,0.03184713423252106,8.335670471191406,1700.45263671875,10.361183166503906,26,0.0297952190740034,0.0541401281952858,,
0.11424393206834793,0.25,6.0,10.100178718566895,0.022727273404598236,8.409418106079102,1700.45263671875,10.440877914428711,27,0.029754842980764806,0.055194806307554245,,
0.10522571951150894,0.25,6.0,10.030211448669434,0.05243445932865143,8.384108543395996,1700.45263671875,10.400673866271973,28,0.029156840057112277,0.02996254712343216,,
0.09728775173425674,0.25,6.0,10.000993728637695,0.03344481438398361,8.255219459533691,1700.45263671875,10.265146255493164,29,0.029356007929891348,0.03344481438398361,,
0.09155382215976715,0.25,6.0,9.846330642700195,0.04794520512223244,7.908713340759277,1700.45263671875,9.887134552001953,30,0.02862249198369682,0.0719178095459938,,
0.08876333385705948,0.25,6.0,9.988641738891602,0.04377104341983795,8.570232391357422,1700.45263671875,10.576837539672852,31,0.02919311192817986,0.04040404036641121,,
0.08270099759101868,0.25,6.0,9.815736770629883,0.04049844294786453,8.110950469970703,1700.45263671875,10.082367897033691,32,0.029348970972932875,0.05295950174331665,,
0.08023067563772202,0.25,6.0,9.789148330688477,0.06688962876796722,7.966892242431641,1700.45263671875,9.932744979858398,33,0.02975694101769477,0.06020066887140274,,
0.07465864717960358,0.25,6.0,9.716952323913574,0.06230529397726059,7.995455741882324,1700.45263671875,9.94631290435791,34,0.029925120994448662,0.037383176386356354,,
0.07333514094352722,0.25,6.0,9.607815742492676,0.055016182363033295,7.877021789550781,1700.45263671875,9.805917739868164,35,0.03009125601965934,0.04530744627118111,,
0.06960280239582062,0.25,6.0,9.655176162719727,0.032258063554763794,8.018354415893555,1700.45263671875,9.95634937286377,36,0.030135008972138166,0.04193548485636711,,
0.06672091037034988,0.25,6.0,9.483216285705566,0.03691275045275688,7.680857181549072,1700.45263671875,9.584172248840332,37,0.0296052050543949,0.043624162673950195,,
0.06427102535963058,0.25,6.0,9.666509628295898,0.04615384712815285,8.105500221252441,1700.45263671875,10.045228958129883,38,0.029426329070702195,0.05230769142508507,,
0.06136058270931244,0.25,6.0,9.418850898742676,0.03448275849223137,7.79265832901001,1700.45263671875,9.682564735412598,39,0.029590673046186566,0.03793103247880936,,
0.05814174935221672,0.25,6.0,9.28331470489502,0.04907975345849991,7.498473167419434,1700.45263671875,9.360950469970703,40,0.029604163952171803,0.061349689960479736,,
0.05619347095489502,0.25,6.0,9.566892623901367,0.0394265241920948,8.091374397277832,1700.45263671875,10.010372161865234,41,0.02937202900648117,0.04301075264811516,,
0.054419223219156265,0.25,6.0,9.409560203552246,0.0555555559694767,7.851320743560791,1700.45263671875,9.738675117492676,42,0.02946630190126598,0.0451388880610466,,
