gpu_memory_MB,loss,lr,mode,selected_token_ratio,step,step_time,token_acc,top5_acc
4108.8525390625,6.055117130279541,0.0003,train_mdlm_direct_draft_context,1.0,1,0.2191663950070506,0.2766798436641693,0.426877498626709
4138.72412109375,4.826058387756348,0.0003,train_mdlm_direct_draft_context,1.0,2,0.07690472700051032,0.3076923191547394,0.46942800283432007
4135.318359375,4.857607364654541,0.0003,train_mdlm_direct_draft_context,1.0,3,0.07474727599765174,0.29200002551078796,0.4700000286102295
4139.36181640625,4.61260986328125,0.0003,train_mdlm_direct_draft_context,1.0,4,0.07548646599752828,0.34381139278411865,0.4990176856517792
4139.91796875,4.051876544952393,0.0003,train_mdlm_direct_draft_context,1.0,5,0.07472139300080016,0.3484252095222473,0.5590550899505615
4139.66796875,4.3166022300720215,0.0003,train_mdlm_direct_draft_context,1.0,6,0.07473559999198187,0.34645670652389526,0.5255905389785767
4138.47412109375,4.296584606170654,0.0003,train_mdlm_direct_draft_context,1.0,7,0.07478124300541822,0.3333333432674408,0.5246548652648926
4136.630859375,3.9959583282470703,0.0003,train_mdlm_direct_draft_context,1.0,8,0.07536587301001418,0.343873530626297,0.5454545617103577
4136.380859375,3.437612295150757,0.0003,train_mdlm_direct_draft_context,1.0,9,0.07486326899379492,0.41501978039741516,0.6086956858634949
4133.203125,3.9786722660064697,0.0003,train_mdlm_direct_draft_context,1.0,10,0.07460801399429329,0.3632734417915344,0.5469061732292175
4133.8388671875,3.1838114261627197,0.0003,train_mdlm_direct_draft_context,1.0,11,0.07476858200971037,0.4661354720592499,0.6394422650337219
4132.77587890625,4.069002628326416,0.0003,train_mdlm_direct_draft_context,1.0,12,0.07493767100095283,0.3931451439857483,0.5483870506286621
4138.66796875,3.408031463623047,0.0003,train_mdlm_direct_draft_context,1.0,13,0.07475688599515706,0.4212598502635956,0.6220472455024719
4136.91796875,3.6127517223358154,0.0003,train_mdlm_direct_draft_context,1.0,14,0.0748478530003922,0.39960628747940063,0.5984252095222473
4138.4990234375,3.7727720737457275,0.0003,train_mdlm_direct_draft_context,1.0,15,0.0749220029974822,0.40508806705474854,0.5655577182769775
4132.18212890625,3.5768861770629883,0.0003,train_mdlm_direct_draft_context,1.0,16,0.07523744300124235,0.4008015990257263,0.5691382884979248
4141.36181640625,3.7122464179992676,0.0003,train_mdlm_direct_draft_context,1.0,17,0.07471708000230137,0.3870334029197693,0.5717092752456665
4135.43212890625,3.680058240890503,0.0003,train_mdlm_direct_draft_context,1.0,18,0.07460095499118324,0.3747495114803314,0.5891783833503723
4139.61181640625,3.788144111633301,0.0003,train_mdlm_direct_draft_context,1.0,19,0.07485063499188982,0.3889980614185333,0.5579568147659302
4142.80517578125,2.9227662086486816,0.0003,train_mdlm_direct_draft_context,1.0,20,0.07529223599703982,0.458823561668396,0.6823529601097107
4140.11181640625,3.831624746322632,0.0003,train_mdlm_direct_draft_context,1.0,21,0.07473578800272662,0.38113951683044434,0.5540274977684021
4136.630859375,3.3052849769592285,0.0003,train_mdlm_direct_draft_context,1.0,22,0.07476419300655834,0.4387351870536804,0.6205533742904663
4139.359375,3.275268316268921,0.0003,train_mdlm_direct_draft_context,1.0,23,0.0750033060030546,0.4464285969734192,0.6091270446777344
4141.11181640625,3.2690889835357666,0.0003,train_mdlm_direct_draft_context,1.0,24,0.075422454989166,0.42829078435897827,0.6306483745574951
4138.61181640625,3.340967893600464,0.0003,train_mdlm_direct_draft_context,1.0,25,0.07479770699865185,0.4204322397708893,0.626719057559967
