elapsed_sec,gate_accuracy,gate_loss,num_gate_train_samples,positive_ratio,step,total_gate_train_samples
0.24070920189842582,0.8,0.6591104865074158,40,0.825,1,40
0.2969547980464995,0.8888888888888888,0.638068437576294,36,0.8888888888888888,2,76
0.355290322098881,0.7906976744186046,0.6595720052719116,43,0.7906976744186046,3,119
0.41419088281691074,0.68,0.6732094287872314,50,0.68,4,169
0.47296700114384294,0.8409090909090909,0.633333683013916,44,0.8409090909090909,5,213
0.5317990821786225,0.8,0.6438086032867432,40,0.8,6,253
0.5898516899906099,0.6764705882352942,0.6687471866607666,34,0.6764705882352942,7,287
0.6480110357515514,0.75,0.644268810749054,40,0.75,8,327
0.7063941601663828,0.9142857142857143,0.5959292650222778,35,0.9142857142857143,9,362
0.7648364598862827,0.6808510638297872,0.6599182486534119,47,0.6808510638297872,10,409
0.8232706990092993,0.7948717948717948,0.6192964315414429,39,0.7948717948717948,11,448
0.8837474621832371,0.723404255319149,0.6591084003448486,47,0.723404255319149,12,495
0.9421219858340919,0.8620689655172413,0.5984633564949036,29,0.8620689655172413,13,524
1.0003659119829535,0.7924528301886793,0.6140463352203369,53,0.7924528301886793,14,577
1.0587154091335833,0.8055555555555556,0.6071644425392151,36,0.8055555555555556,15,613
1.1171661037951708,0.75,0.6364189386367798,40,0.75,16,653
1.175573070999235,0.8723404255319149,0.5783085227012634,47,0.8723404255319149,17,700
1.2338947639800608,0.75,0.6157291531562805,44,0.75,18,744
1.2920225141569972,0.8695652173913043,0.5721596479415894,46,0.8695652173913043,19,790
1.350693705957383,0.6923076923076923,0.6444774866104126,26,0.6923076923076923,20,816
1.4091974538750947,0.8461538461538461,0.5837479829788208,39,0.8461538461538461,21,855
1.467236349824816,0.71875,0.6384307146072388,32,0.71875,22,887
1.5255885161459446,0.7708333333333334,0.5946666598320007,48,0.7708333333333334,23,935
1.5838202647864819,0.6666666666666666,0.6375202536582947,36,0.6666666666666666,24,971
1.641921014059335,0.8205128205128205,0.57472163438797,39,0.8205128205128205,25,1010
1.6995491441339254,0.78125,0.5800100564956665,32,0.78125,26,1042
1.757042626850307,0.8157894736842105,0.5691189765930176,38,0.8157894736842105,27,1080
1.8148683928884566,0.8235294117647058,0.565380334854126,51,0.8235294117647058,28,1131
1.8726250128820539,0.8292682926829268,0.5552889108657837,41,0.8292682926829268,29,1172
1.9305385421030223,0.8205128205128205,0.5578856468200684,39,0.8205128205128205,30,1211
1.988258840981871,0.7894736842105263,0.5827888250350952,38,0.7894736842105263,31,1249
2.0459131440147758,0.7567567567567568,0.6237649917602539,37,0.7567567567567568,32,1286
2.1037828158587217,0.8611111111111112,0.5125930905342102,36,0.8611111111111112,33,1322
2.1608522972092032,0.7916666666666666,0.5530200004577637,48,0.7916666666666666,34,1370
2.2186720818281174,0.8863636363636364,0.4986363351345062,44,0.8863636363636364,35,1414
2.276245918124914,0.6888888888888889,0.6261032223701477,45,0.6888888888888889,36,1459
2.3337164130061865,0.813953488372093,0.538321316242218,43,0.813953488372093,37,1502
2.391220808029175,0.717948717948718,0.6133323907852173,39,0.717948717948718,38,1541
2.449234514962882,0.7758620689655172,0.5775375962257385,58,0.7758620689655172,39,1599
2.506588597781956,0.7692307692307693,0.5592373013496399,52,0.7692307692307693,40,1651
2.5654675350524485,0.8260869565217391,0.5309740900993347,46,0.8260869565217391,41,1697
2.624286340083927,0.76,0.586474597454071,50,0.76,42,1747
2.6828187787905335,0.8333333333333334,0.4947037100791931,36,0.8333333333333334,43,1783
2.7405842668376863,0.7,0.6073521971702576,40,0.7,44,1823
2.7984585068188608,0.7872340425531915,0.5341730117797852,47,0.7872340425531915,45,1870
2.8554447959177196,0.7727272727272727,0.5486249327659607,44,0.7727272727272727,46,1914
2.91410838579759,0.7741935483870968,0.5256162881851196,31,0.7741935483870968,47,1945
2.9725195290520787,0.8484848484848485,0.48856666684150696,33,0.8484848484848485,48,1978
3.031164087820798,0.7142857142857143,0.6064771413803101,42,0.7142857142857143,49,2020
3.0898661948740482,0.8235294117647058,0.49173396825790405,51,0.8235294117647058,50,2071
3.1488726371899247,0.8095238095238095,0.519280195236206,42,0.8095238095238095,51,2113
3.2123393351212144,0.851063829787234,0.47985947132110596,47,0.851063829787234,52,2160
3.2711711968295276,0.675,0.6408770680427551,40,0.675,53,2200
3.329474341124296,0.8461538461538461,0.46986153721809387,39,0.8461538461538461,54,2239
3.388391395099461,0.8421052631578947,0.4747905135154724,38,0.8421052631578947,55,2277
3.4650956531986594,0.7391304347826086,0.5495175719261169,46,0.7391304347826086,56,2323
3.544339694082737,0.7741935483870968,0.5351241827011108,31,0.7741935483870968,57,2354
3.617885001935065,0.6976744186046512,0.6128315925598145,43,0.6976744186046512,58,2397
3.685083677060902,0.7027027027027027,0.6085290908813477,37,0.7027027027027027,59,2434
3.7783839739859104,0.8055555555555556,0.49918004870414734,36,0.8055555555555556,60,2470
3.8627844657748938,0.7631578947368421,0.5289215445518494,38,0.7631578947368421,61,2508
3.956399335991591,0.8285714285714286,0.483087420463562,35,0.8285714285714286,62,2543
4.041513539850712,0.8043478260869565,0.48949432373046875,46,0.8043478260869565,63,2589
4.135327218100429,0.86,0.4661482870578766,50,0.86,64,2639
4.224582601804286,0.775,0.519389808177948,40,0.775,65,2679
4.285237906035036,0.8518518518518519,0.4655410647392273,27,0.8518518518518519,66,2706
4.3427980449050665,0.7222222222222222,0.5854888558387756,36,0.7222222222222222,67,2742
4.401311160996556,0.65,0.6598790287971497,40,0.65,68,2782
4.464576635975391,0.7894736842105263,0.5233214497566223,38,0.7894736842105263,69,2820
4.5452367519028485,0.8205128205128205,0.4684271216392517,39,0.8205128205128205,70,2859
4.6261202660389245,0.7631578947368421,0.5590749979019165,38,0.7631578947368421,71,2897
4.692823747172952,0.825,0.5015559196472168,40,0.825,72,2937
4.780726096127182,0.9142857142857143,0.38849982619285583,35,0.9142857142857143,73,2972
4.870250513777137,0.7916666666666666,0.5353407859802246,48,0.7916666666666666,74,3020
4.959767620079219,0.782608695652174,0.5175829529762268,46,0.782608695652174,75,3066
5.048845178913325,0.725,0.5774064064025879,40,0.725,76,3106
5.138710374943912,0.7872340425531915,0.4920072555541992,47,0.7872340425531915,77,3153
5.2273253398016095,0.7906976744186046,0.5028080940246582,43,0.7906976744186046,78,3196
5.29683595104143,0.7272727272727273,0.5760460495948792,44,0.7272727272727273,79,3240
5.354347969871014,0.7380952380952381,0.5308604836463928,42,0.7380952380952381,80,3282
5.412022546865046,0.8421052631578947,0.45151790976524353,38,0.8421052631578947,81,3320
5.470312376972288,0.7272727272727273,0.5599105358123779,44,0.7272727272727273,82,3364
5.541905072052032,0.8421052631578947,0.44803619384765625,38,0.8421052631578947,83,3402
5.622328879777342,0.8372093023255814,0.44110605120658875,43,0.8372093023255814,84,3445
5.6988640748895705,0.7567567567567568,0.5290353298187256,37,0.7567567567567568,85,3482
5.768896154128015,0.8157894736842105,0.48093339800834656,38,0.8157894736842105,86,3520
