block_size,draft_context_loss,gpu_memory_MB,lora_training_mode,loss,lr,refine_ratio,selected_token_ratio,step,step_time,token_acc,top5_acc
4,8.481560707092285,2079.7587890625,draft_aware,8.481560707092285,0.0001,0.2,0.2134387351778656,1,0.2126889261417091,0.1388888955116272,0.25
4,7.652759075164795,2095.2255859375,draft_aware,7.652759075164795,0.0001,0.2,0.21499013806706113,2,0.0535311559215188,0.07339449226856232,0.2110091596841812
4,9.428877830505371,2095.2255859375,draft_aware,9.428877830505371,0.0001,0.2,0.208,3,0.052525672130286694,0.06730769574642181,0.17307692766189575
4,7.991811275482178,2095.2255859375,draft_aware,7.991811275482178,0.0001,0.2,0.21611001964636542,4,0.09652913408353925,0.05454545468091965,0.17272727191448212
4,7.818552494049072,2099.7255859375,draft_aware,7.818552494049072,0.0001,0.2,0.21653543307086615,5,0.05451723700389266,0.09090908616781235,0.2181818187236786
4,7.115860939025879,2104.2255859375,draft_aware,7.115860939025879,0.0001,0.2,0.21653543307086615,6,0.05220076674595475,0.15454545617103577,0.29999998211860657
4,8.129733085632324,2104.2255859375,draft_aware,8.129733085632324,0.0001,0.2,0.21893491124260356,7,0.05305500328540802,0.11711712181568146,0.21621622145175934
4,7.471926212310791,2104.2255859375,draft_aware,7.471926212310791,0.0001,0.2,0.21146245059288538,8,0.05300249205902219,0.09345793724060059,0.2149532586336136
4,8.682867050170898,2099.7255859375,draft_aware,8.682867050170898,0.0001,0.2,0.21739130434782608,9,0.05245214328169823,0.036363635212183,0.17272727191448212
4,8.86475944519043,2104.2255859375,draft_aware,8.86475944519043,0.0001,0.2,0.21157684630738524,10,0.05280450917780399,0.04716981202363968,0.21698114275932312
4,6.42354679107666,2104.2255859375,draft_aware,6.42354679107666,0.0001,0.2,0.21713147410358566,11,0.05292031820863485,0.15596330165863037,0.302752286195755
4,8.168262481689453,2104.2255859375,draft_aware,8.168262481689453,0.0001,0.2,0.21169354838709678,12,0.0527618732303381,0.0476190485060215,0.21904762089252472
4,6.886436462402344,2099.7255859375,draft_aware,6.886436462402344,0.0001,0.2,0.21456692913385828,13,0.05280512711033225,0.1376146674156189,0.2752293348312378
4,8.142333030700684,2104.2255859375,draft_aware,8.142333030700684,0.0001,0.2,0.21456692913385828,14,0.05278590600937605,0.11009173840284348,0.24770641326904297
4,7.504732608795166,2104.2255859375,draft_aware,7.504732608795166,0.0001,0.2,0.2172211350293542,15,0.052952323108911514,0.06306306272745132,0.21621622145175934
4,6.96771764755249,2104.2255859375,draft_aware,6.96771764755249,0.0001,0.2,0.2124248496993988,16,0.053280232939869165,0.09433962404727936,0.2641509473323822
4,7.6866774559021,2099.7255859375,draft_aware,7.6866774559021,0.0001,0.2,0.2180746561886051,17,0.05261174961924553,0.1621621698141098,0.36936938762664795
4,7.150507926940918,2104.2255859375,draft_aware,7.150507926940918,0.0001,0.2,0.21042084168336672,18,0.05283575179055333,0.07619047909975052,0.20952381193637848
4,7.363384246826172,2104.2255859375,draft_aware,7.363384246826172,0.0001,0.2,0.21611001964636542,19,0.053513145074248314,0.11818181723356247,0.290909081697464
4,6.779935836791992,2104.2255859375,draft_aware,6.779935836791992,0.0001,0.2,0.21764705882352942,20,0.05308203585445881,0.09909909963607788,0.2522522509098053
4,7.060019493103027,2099.7255859375,draft_aware,7.060019493103027,0.0001,0.2,0.2180746561886051,21,0.05261457106098533,0.06306306272745132,0.22522522509098053
4,7.4714179039001465,2104.2255859375,draft_aware,7.4714179039001465,0.0001,0.2,0.21739130434782608,22,0.053425388876348734,0.072727270424366,0.13636362552642822
4,7.015219211578369,2104.2255859375,draft_aware,7.015219211578369,0.0001,0.2,0.2123015873015873,23,0.052642779890447855,0.14953270554542542,0.2616822421550751
4,8.046202659606934,2104.2255859375,draft_aware,8.046202659606934,0.0001,0.2,0.21414538310412573,24,0.05292535899206996,0.0917431116104126,0.23853209614753723
4,7.8252692222595215,2099.7255859375,draft_aware,7.8252692222595215,0.0001,0.2,0.2180746561886051,25,0.05274415807798505,0.11711712181568146,0.27927929162979126
4,7.147637844085693,2104.2255859375,draft_aware,7.147637844085693,0.0001,0.2,0.2180746561886051,26,0.052769895642995834,0.07207207381725311,0.22522522509098053
4,7.668994903564453,2104.2255859375,draft_aware,7.668994903564453,0.0001,0.2,0.21893491124260356,27,0.053397157695144415,0.0810810849070549,0.27927929162979126
4,8.100299835205078,2104.2255859375,draft_aware,8.100299835205078,0.0001,0.2,0.21115537848605578,28,0.05316408583894372,0.07547169923782349,0.16981132328510284
4,7.677358150482178,2099.7255859375,draft_aware,7.677358150482178,0.0001,0.2,0.21696252465483234,29,0.052350453566759825,0.11818181723356247,0.2545454502105713
4,7.538137912750244,2104.2255859375,draft_aware,7.538137912750244,0.0001,0.2,0.2196078431372549,30,0.05318118166178465,0.0803571492433548,0.1785714328289032
4,7.936792373657227,2104.2255859375,draft_aware,7.936792373657227,0.0001,0.2,0.2172211350293542,31,0.052855443209409714,0.0810810849070549,0.20720721781253815
4,7.509322643280029,2104.2255859375,draft_aware,7.509322643280029,0.0001,0.2,0.21782178217821782,32,0.05281658098101616,0.09999999403953552,0.23636363446712494
4,7.479355812072754,2099.7255859375,draft_aware,7.479355812072754,0.0001,0.2,0.21696252465483234,33,0.052654693368822336,0.06363636255264282,0.22727271914482117
4,7.540309906005859,2104.2255859375,draft_aware,7.540309906005859,0.0001,0.2,0.21456692913385828,34,0.05295332008972764,0.0458715558052063,0.14678898453712463
4,7.111448764801025,2104.2255859375,draft_aware,7.111448764801025,0.0001,0.2,0.21893491124260356,35,0.05265258066356182,0.12612612545490265,0.20720721781253815
4,6.208258152008057,2104.2255859375,draft_aware,6.208258152008057,0.0001,0.2,0.21653543307086615,36,0.05314165027812123,0.145454540848732,0.27272725105285645
4,7.694623947143555,2099.7255859375,draft_aware,7.694623947143555,0.0001,0.2,0.21936758893280633,37,0.052603211253881454,0.12612612545490265,0.30630630254745483
4,7.43743896484375,2104.2255859375,draft_aware,7.43743896484375,0.0001,0.2,0.21653543307086615,38,0.052586776204407215,0.11818181723356247,0.30909091234207153
4,8.28907585144043,2104.2255859375,draft_aware,8.28907585144043,0.0001,0.2,0.21893491124260356,39,0.05313468398526311,0.07207207381725311,0.21621622145175934
4,7.6421990394592285,2104.2255859375,draft_aware,7.6421990394592285,0.0001,0.2,0.21850393700787402,40,0.05279241595417261,0.09009009599685669,0.21621622145175934
4,7.850621700286865,2099.7255859375,draft_aware,7.850621700286865,0.0001,0.2,0.2196078431372549,41,0.052745357155799866,0.0803571492433548,0.25
4,7.627257823944092,2104.2255859375,draft_aware,7.627257823944092,0.0001,0.2,0.21031746031746032,42,0.05341429775580764,0.12264151126146317,0.3113207519054413
4,7.4993486404418945,2104.2255859375,draft_aware,7.4993486404418945,0.0001,0.2,0.2196078431372549,43,0.052588880993425846,0.1071428656578064,0.1785714328289032
4,7.5292534828186035,2104.2255859375,draft_aware,7.5292534828186035,0.0001,0.2,0.21850393700787402,44,0.053059137891978025,0.06306306272745132,0.171171173453331
4,7.015177249908447,2099.7255859375,draft_aware,7.015177249908447,0.0001,0.2,0.21893491124260356,45,0.05299238208681345,0.054054055362939835,0.21621622145175934
4,8.734663009643555,2104.2255859375,draft_aware,8.734663009643555,0.0001,0.2,0.2180746561886051,46,0.052671580109745264,0.09009009599685669,0.18918919563293457
4,7.393226146697998,2104.2255859375,draft_aware,7.393226146697998,0.0001,0.2,0.21414538310412573,47,0.05305845616385341,0.08256880193948746,0.2568807303905487
4,7.106942653656006,2104.2255859375,draft_aware,7.106942653656006,0.0001,0.2,0.21653543307086615,48,0.05334132211282849,0.09999999403953552,0.23636363446712494
4,6.999967575073242,2099.7255859375,draft_aware,6.999967575073242,0.0001,0.2,0.21936758893280633,49,0.0526469717733562,0.1621621698141098,0.3243243396282196
4,8.017455101013184,2104.2255859375,draft_aware,8.017455101013184,0.0001,0.2,0.21428571428571427,50,0.05312352301552892,0.06481481343507767,0.2222222238779068
4,7.257841110229492,2104.2255859375,draft_aware,7.257841110229492,0.0001,0.2,0.21893491124260356,51,0.053027912974357605,0.10810811072587967,0.20720721781253815
4,7.156457424163818,2104.2255859375,draft_aware,7.156457424163818,0.0001,0.2,0.22023809523809523,52,0.052650035824626684,0.07207207381725311,0.22522522509098053
4,6.835313320159912,2099.7255859375,draft_aware,6.835313320159912,0.0001,0.2,0.21499013806706113,53,0.05275084404274821,0.12844036519527435,0.28440365195274353
4,7.212791442871094,2104.2255859375,draft_aware,7.212791442871094,0.0001,0.2,0.21568627450980393,54,0.05304060084745288,0.05454545468091965,0.20909090340137482
4,7.728436470031738,2104.2255859375,draft_aware,7.728436470031738,0.0001,0.2,0.216,55,0.052674022037535906,0.0555555559694767,0.1388888955116272
4,8.02255630493164,2104.2255859375,draft_aware,8.02255630493164,0.0001,0.2,0.2147117296222664,56,0.05313460761681199,0.04629629850387573,0.15740740299224854
4,7.273349761962891,2099.7255859375,draft_aware,7.273349761962891,0.0001,0.2,0.21456692913385828,57,0.052714338060468435,0.12844036519527435,0.24770641326904297
4,8.241243362426758,2104.2255859375,draft_aware,8.241243362426758,0.0001,0.2,0.22178217821782178,58,0.052967592142522335,0.0892857164144516,0.1875000149011612
4,7.449090957641602,2104.2255859375,draft_aware,7.449090957641602,0.0001,0.2,0.21696252465483234,59,0.05282003339380026,0.145454540848732,0.30909091234207153
4,6.659438133239746,2104.2255859375,draft_aware,6.659438133239746,0.0001,0.2,0.21386138613861386,60,0.052963683381676674,0.10185185074806213,0.23148147761821747
4,8.056452751159668,2099.7255859375,draft_aware,8.056452751159668,0.0001,0.2,0.21611001964636542,61,0.05262334458529949,0.09999999403953552,0.15454545617103577
4,7.979846000671387,2104.2255859375,draft_aware,7.979846000671387,0.0001,0.2,0.21188118811881188,62,0.0532439318485558,0.06542056053876877,0.22429905831813812
4,7.8742523193359375,2104.2255859375,draft_aware,7.8742523193359375,0.0001,0.2,0.21936758893280633,63,0.05277688894420862,0.10810811072587967,0.27927929162979126
4,8.473027229309082,2104.2255859375,draft_aware,8.473027229309082,0.0001,0.2,0.2196078431372549,64,0.05311871599406004,0.0535714328289032,0.1428571492433548
4,6.774643898010254,2099.7255859375,draft_aware,6.774643898010254,0.0001,0.2,0.21568627450980393,65,0.0530716348439455,0.145454540848732,0.34545454382896423
4,7.9354329109191895,2104.2255859375,draft_aware,7.9354329109191895,0.0001,0.2,0.2180746561886051,66,0.05283889081329107,0.054054055362939835,0.19819819927215576
4,7.820872783660889,2104.2255859375,draft_aware,7.820872783660889,0.0001,0.2,0.21499013806706113,67,0.05288014700636268,0.12844036519527435,0.26605504751205444
4,5.978536128997803,2104.2255859375,draft_aware,5.978536128997803,0.0001,0.2,0.21893491124260356,68,0.053435334004461765,0.10810811072587967,0.23423424363136292
4,6.561114311218262,2099.7255859375,draft_aware,6.561114311218262,0.0001,0.2,0.21739130434782608,69,0.05246612336486578,0.16363635659217834,0.2818181812763214
4,6.850478172302246,2104.2255859375,draft_aware,6.850478172302246,0.0001,0.2,0.2180746561886051,70,0.053483658004552126,0.07207207381725311,0.171171173453331
4,7.354686737060547,2104.2255859375,draft_aware,7.354686737060547,0.0001,0.2,0.2151394422310757,71,0.05324406269937754,0.1111111119389534,0.24074074625968933
4,7.094592571258545,2104.2255859375,draft_aware,7.094592571258545,0.0001,0.2,0.21893491124260356,72,0.052795860916376114,0.0810810849070549,0.171171173453331
4,8.39000415802002,2099.7255859375,draft_aware,8.39000415802002,0.0001,0.2,0.21541501976284586,73,0.053236480336636305,0.0458715558052063,0.14678898453712463
4,7.356411933898926,2104.2255859375,draft_aware,7.356411933898926,0.0001,0.2,0.21696252465483234,74,0.05305193178355694,0.09090908616781235,0.19999998807907104
4,6.9012579917907715,2104.2255859375,draft_aware,6.9012579917907715,0.0001,0.2,0.21611001964636542,75,0.0528095499612391,0.08181817829608917,0.20909090340137482
