block_size,draft_context_loss,gpu_memory_MB,lora_training_mode,loss,lr,refine_ratio,selected_token_ratio,step,step_time,token_acc,top5_acc
8,7.957040309906006,2090.3505859375,draft_aware,7.957040309906006,0.0001,0.2,0.2450592885375494,1,0.049849885050207376,0.04838709533214569,0.17741934955120087
8,7.8811469078063965,2095.1904296875,draft_aware,7.8811469078063965,0.0001,0.2,0.2445759368836292,2,0.052414258010685444,0.06451612710952759,0.17741934955120087
8,7.581713676452637,2095.1904296875,draft_aware,7.581713676452637,0.0001,0.2,0.236,3,0.05159607995301485,0.10169491171836853,0.2118644118309021
8,7.402015209197998,2095.1904296875,draft_aware,7.402015209197998,0.0001,0.2,0.25147347740667975,4,0.051519806031137705,0.0859375,0.1796875
8,7.106011867523193,2099.6904296875,draft_aware,7.106011867523193,0.0001,0.2,0.25,5,0.051321947015821934,0.11023622006177902,0.21259842813014984
8,6.834201335906982,2104.1904296875,draft_aware,6.834201335906982,0.0001,0.2,0.24803149606299213,6,0.05113742174580693,0.0634920671582222,0.1984127163887024
8,7.431562423706055,2104.1904296875,draft_aware,7.431562423706055,0.0001,0.2,0.2504930966469428,7,0.05139356292784214,0.06299212574958801,0.17322835326194763
8,8.533230781555176,2104.1904296875,draft_aware,8.533230781555176,0.0001,0.2,0.24703557312252963,8,0.051189664751291275,0.04000000283122063,0.18400001525878906
8,8.002180099487305,2099.6904296875,draft_aware,8.002180099487305,0.0001,0.2,0.2490118577075099,9,0.05097111081704497,0.0317460335791111,0.111111119389534
8,8.306807518005371,2104.1904296875,draft_aware,8.306807518005371,0.0001,0.2,0.24750499001996007,10,0.051340434700250626,0.04838709533214569,0.20967741310596466
8,6.96591854095459,2104.1904296875,draft_aware,6.96591854095459,0.0001,0.2,0.2450199203187251,11,0.050932084210217,0.08943089097738266,0.1869918704032898
8,8.200531959533691,2104.1904296875,draft_aware,8.200531959533691,0.0001,0.2,0.23387096774193547,12,0.05167339835315943,0.10344827175140381,0.20689654350280762
8,7.013750076293945,2099.6904296875,draft_aware,7.013750076293945,0.0001,0.2,0.24803149606299213,13,0.050733303651213646,0.1031746119260788,0.2460317611694336
8,8.3507080078125,2104.1904296875,draft_aware,8.3507080078125,0.0001,0.2,0.24803149606299213,14,0.05133487889543176,0.0396825410425663,0.2301587462425232
8,7.635653495788574,2104.1904296875,draft_aware,7.635653495788574,0.0001,0.2,0.25048923679060664,15,0.05106112873181701,0.046875,0.1953125
8,7.333732604980469,2104.1904296875,draft_aware,7.333732604980469,0.0001,0.2,0.23847695390781562,16,0.051218521781265736,0.10924370586872101,0.31092438101768494
8,8.213881492614746,2099.6904296875,draft_aware,8.213881492614746,0.0001,0.2,0.2475442043222004,17,0.05104120075702667,0.1031746119260788,0.2380952537059784
8,8.231050491333008,2104.1904296875,draft_aware,8.231050491333008,0.0001,0.2,0.23446893787575152,18,0.050688876304775476,0.04273504391312599,0.1538461595773697
8,7.1922383308410645,2104.1904296875,draft_aware,7.1922383308410645,0.0001,0.2,0.2475442043222004,19,0.05169764161109924,0.0396825410425663,0.1587301641702652
8,7.479771137237549,2104.1904296875,draft_aware,7.479771137237549,0.0001,0.2,0.24901960784313726,20,0.05123045574873686,0.06299212574958801,0.18897637724876404
8,7.411219120025635,2099.6904296875,draft_aware,7.411219120025635,0.0001,0.2,0.25147347740667975,21,0.05117585975676775,0.0625,0.1640625
8,6.557863712310791,2104.1904296875,draft_aware,6.557863712310791,0.0001,0.2,0.2490118577075099,22,0.05110560217872262,0.0952381044626236,0.1825396865606308
8,7.726107120513916,2104.1904296875,draft_aware,7.726107120513916,0.0001,0.2,0.24603174603174602,23,0.051315856631845236,0.08064515888690948,0.22580644488334656
8,8.101409912109375,2104.1904296875,draft_aware,8.101409912109375,0.0001,0.2,0.2475442043222004,24,0.051425171084702015,0.0714285746216774,0.2063492238521576
8,7.506223201751709,2099.6904296875,draft_aware,7.506223201751709,0.0001,0.2,0.24950884086444008,25,0.05099254520609975,0.06299212574958801,0.20472440123558044
8,6.953470230102539,2104.1904296875,draft_aware,6.953470230102539,0.0001,0.2,0.24950884086444008,26,0.05157914198935032,0.07086613774299622,0.22834645211696625
8,7.840423583984375,2104.1904296875,draft_aware,7.840423583984375,0.0001,0.2,0.2485207100591716,27,0.05102299898862839,0.055555559694767,0.1587301641702652
8,7.991512298583984,2104.1904296875,draft_aware,7.991512298583984,0.0001,0.2,0.2450199203187251,28,0.05157186184078455,0.04065040498971939,0.10569105297327042
8,7.922228813171387,2099.6904296875,draft_aware,7.922228813171387,0.0001,0.2,0.2485207100591716,29,0.050909209065139294,0.111111119389534,0.1904762089252472
8,7.565893173217773,2104.1904296875,draft_aware,7.565893173217773,0.0001,0.2,0.24901960784313726,30,0.05144142499193549,0.07086613774299622,0.21259842813014984
8,8.169068336486816,2104.1904296875,draft_aware,8.169068336486816,0.0001,0.2,0.25048923679060664,31,0.05134375486522913,0.0546875,0.1171875
8,8.169703483581543,2104.1904296875,draft_aware,8.169703483581543,0.0001,0.2,0.24752475247524752,32,0.05109580373391509,0.07200000435113907,0.1680000126361847
8,7.759836673736572,2099.6904296875,draft_aware,7.759836673736572,0.0001,0.2,0.2485207100591716,33,0.05118299089372158,0.0873015895485878,0.2063492238521576
8,7.4798383712768555,2104.1904296875,draft_aware,7.4798383712768555,0.0001,0.2,0.24803149606299213,34,0.05102594988420606,0.01587301678955555,0.1190476268529892
8,7.306480884552002,2104.1904296875,draft_aware,7.306480884552002,0.0001,0.2,0.2485207100591716,35,0.05163830379024148,0.0396825410425663,0.15079365670681
