Block Size,Draft Top1,Draft Top5,PPL,Block EM,Correction,Regression,Net,Selected Ratio,latency,gpu_memory_MB
1,0.32821144449380124,0.5152647094455437,53.268433210199184,0.32821144449380124,0.3168536422557654,0.5008103727714749,-0.1839567305157095,0.2042006135171686,0.012692271816371191,3015.07275390625
2,0.28042404579363933,0.4686821929697671,89.10484985247113,0.13408652299774848,0.2557263446736274,0.5226429101707498,-0.2669165654971224,0.1995208958670053,0.013133842881092324,3014.07275390625
4,0.2037379260416468,0.37897464230600697,184.50600622876897,0.020466089034956676,0.17890102070315106,0.6477393617021276,-0.4688383409989766,0.21641735659860803,0.013397310512424262,3014.07275390625
8,0.1403765307987571,0.29424569216197805,347.2425500808395,0.000523149359142035,0.11447770558827697,0.74085762019677,-0.6263799146084931,0.24813223603918594,0.013513768220122025,3014.07275390625
