gpu_memory_MB,loss,lr,mode,selected_token_ratio,step,step_time,token_acc,top5_acc
4006.68505859375,3.248926877975464,0.0003,train_mdlm_random_mask,0.1482213438735178,1,0.29310558798897546,0.46666666865348816,0.7200000286102295
4011.18505859375,1.7739821672439575,0.0003,train_mdlm_random_mask,0.14201183431952663,2,0.06095685699256137,0.6388888955116272,0.8055555820465088
4008.93505859375,2.3566219806671143,0.0003,train_mdlm_random_mask,0.13,3,0.05800908399396576,0.5692307949066162,0.7692307829856873
4008.93505859375,3.11928391456604,0.0003,train_mdlm_random_mask,0.15324165029469547,4,0.058112241997150704,0.4743589758872986,0.692307710647583
4009.43505859375,1.877793550491333,0.0003,train_mdlm_random_mask,0.16929133858267717,5,0.05799813799967524,0.6162790656089783,0.7558139562606812
4009.43505859375,2.441011667251587,0.0003,train_mdlm_random_mask,0.1437007874015748,6,0.05798028899880592,0.5753424763679504,0.7534246444702148
4006.68505859375,2.2169528007507324,0.0003,train_mdlm_random_mask,0.1242603550295858,7,0.057856886996887624,0.5873016119003296,0.7460317611694336
4004.93505859375,2.342921018600464,0.0003,train_mdlm_random_mask,0.1482213438735178,8,0.057747042999835685,0.5333333611488342,0.7333333492279053
4006.43505859375,2.2493388652801514,0.0003,train_mdlm_random_mask,0.16798418972332016,9,0.0580085169931408,0.5764706134796143,0.7411764860153198
4005.93505859375,2.3010430335998535,0.0003,train_mdlm_random_mask,0.1596806387225549,10,0.05790232899016701,0.5,0.7750000357627869
4010.18505859375,1.6564801931381226,0.0003,train_mdlm_random_mask,0.1693227091633466,11,0.05797546800749842,0.7058823704719543,0.8117647171020508
4008.18505859375,2.568495273590088,0.0003,train_mdlm_random_mask,0.16330645161290322,12,0.05769452499225736,0.6172839403152466,0.7530864477157593
4010.93505859375,1.8802138566970825,0.0003,train_mdlm_random_mask,0.14763779527559054,13,0.05779226099548396,0.6133333444595337,0.8266667127609253
4011.68505859375,2.0107951164245605,0.0003,train_mdlm_random_mask,0.15748031496062992,14,0.057750555002712645,0.574999988079071,0.75
4014.68505859375,3.175609588623047,0.0003,train_mdlm_random_mask,0.16829745596868884,15,0.058003142999950796,0.44186046719551086,0.6511628031730652
4011.18505859375,2.8955955505371094,0.0003,train_mdlm_random_mask,0.16432865731462926,16,0.058029798994539306,0.45121949911117554,0.7195121645927429
4011.93505859375,2.9556639194488525,0.0003,train_mdlm_random_mask,0.14145383104125736,17,0.05811966900364496,0.4583333432674408,0.6111111044883728
4015.18505859375,2.391780376434326,0.0003,train_mdlm_random_mask,0.1462925851703407,18,0.05799865700828377,0.5616438388824463,0.767123281955719
4010.93505859375,2.3183979988098145,0.0003,train_mdlm_random_mask,0.1787819253438114,19,0.05763812399527524,0.5824176073074341,0.7582417726516724
4012.18505859375,2.450068235397339,0.0003,train_mdlm_random_mask,0.13333333333333333,20,0.057674682000651956,0.5441176295280457,0.7352941036224365
4011.68505859375,2.4646856784820557,0.0003,train_mdlm_random_mask,0.18271119842829076,21,0.057937272009439766,0.5268816947937012,0.7526881694793701
4014.18505859375,1.9105316400527954,0.0003,train_mdlm_random_mask,0.1600790513833992,22,0.057680489000631496,0.6172839403152466,0.8024691343307495
4018.93505859375,2.2450430393218994,0.0003,train_mdlm_random_mask,0.14682539682539683,23,0.05799051999929361,0.6081081032752991,0.7702702879905701
4018.68505859375,1.6575740575790405,0.0003,train_mdlm_random_mask,0.1512770137524558,24,0.05803444600314833,0.5714285969734192,0.8181818127632141
4016.68505859375,2.350956678390503,0.0003,train_mdlm_random_mask,0.15717092337917485,25,0.057935705001000315,0.5875000357627869,0.7250000238418579
4013.43505859375,2.718322992324829,0.0003,train_mdlm_random_mask,0.16699410609037327,26,0.05815546399389859,0.47058823704719543,0.658823549747467
4017.18505859375,1.876707911491394,0.0003,train_mdlm_random_mask,0.13806706114398423,27,0.05803434600238688,0.5571428537368774,0.8142856955528259
