nohup: ignoring input
device=cuda
Using the latest cached version of the dataset since wikitext couldn't be found on the Hugging Face Hub
Found the latest cached dataset configuration 'wikitext-2-raw-v1' at /home/enzeyu/.cache/huggingface/datasets/wikitext/wikitext-2-raw-v1/0.0.0/b08601e04326c79dfdd32d625aee71d232d685c3 (last modified on Sat May  9 08:55:42 2026).
model_backend=mdlm
pretrained_edge_loaded=True
edge_model_status=loaded pretrained edge MDLM from /mnt/data/enzeyu/hf_downloads/models/mdlm-no_flashattn-fp32-owt via HF_ENDPOINT=https://hf-mirror.com/; MDLM custom vocab_embed already matches vocab_size=50258; patched flash-attn rotary kernel
edge_model_is_toy=False
step=4000 loss=18.0816 edge_loss=1.8658 device_loss=15.0091 align=239.9607 acc=0.6503 step_time=0.133s gpu_mem=5911.3MB
step=4100 loss=17.9111 edge_loss=1.7766 device_loss=16.6425 align=227.8969 acc=0.6000 step_time=0.132s gpu_mem=5911.3MB
step=4200 loss=17.3474 edge_loss=1.6601 device_loss=13.9176 align=233.5684 acc=0.6291 step_time=0.132s gpu_mem=5911.3MB
step=4300 loss=18.0064 edge_loss=1.6238 device_loss=11.8478 align=258.9190 acc=0.6755 step_time=0.132s gpu_mem=5911.3MB
step=4400 loss=17.9385 edge_loss=2.1272 device_loss=15.1602 align=229.7324 acc=0.5775 step_time=0.132s gpu_mem=5911.3MB
step=4500 loss=17.5429 edge_loss=1.7813 device_loss=14.5922 align=233.3631 acc=0.6776 step_time=0.131s gpu_mem=5911.3MB
step=4600 loss=17.8216 edge_loss=1.7601 device_loss=11.8826 align=251.5370 acc=0.5725 step_time=0.132s gpu_mem=5911.3MB
step=4700 loss=17.7632 edge_loss=1.6653 device_loss=14.4569 align=239.7129 acc=0.6338 step_time=0.132s gpu_mem=5911.3MB
step=4800 loss=16.5012 edge_loss=1.7567 device_loss=13.0227 align=221.3759 acc=0.6364 step_time=0.132s gpu_mem=5911.3MB
step=4900 loss=20.0978 edge_loss=1.6867 device_loss=13.9910 align=287.3055 acc=0.5963 step_time=0.131s gpu_mem=5911.3MB
step=5000 loss=16.3878 edge_loss=1.4915 device_loss=12.5654 align=226.8734 acc=0.6620 step_time=0.132s gpu_mem=5911.3MB
step=5100 loss=16.4346 edge_loss=1.5100 device_loss=11.9407 align=227.1486 acc=0.6260 step_time=0.132s gpu_mem=5911.3MB
step=5200 loss=18.0613 edge_loss=1.8963 device_loss=12.6722 align=252.0126 acc=0.5677 step_time=0.132s gpu_mem=5911.3MB
step=5300 loss=17.0014 edge_loss=1.6543 device_loss=11.5140 align=242.0297 acc=0.6549 step_time=0.133s gpu_mem=5911.3MB
step=5400 loss=16.9756 edge_loss=1.3023 device_loss=11.3055 align=248.2370 acc=0.7205 step_time=0.133s gpu_mem=5911.3MB
step=5500 loss=17.6490 edge_loss=1.8437 device_loss=12.1126 align=245.9127 acc=0.6181 step_time=0.132s gpu_mem=5911.3MB
step=5600 loss=16.7813 edge_loss=1.6934 device_loss=11.2966 align=235.5373 acc=0.6486 step_time=0.133s gpu_mem=5911.3MB
step=5700 loss=17.1628 edge_loss=2.2066 device_loss=12.8430 align=225.5993 acc=0.5683 step_time=0.132s gpu_mem=5911.3MB
step=5800 loss=16.1189 edge_loss=1.8443 device_loss=10.7864 align=223.7521 acc=0.6104 step_time=0.131s gpu_mem=5911.3MB
step=5900 loss=15.6588 edge_loss=1.5147 device_loss=11.4108 align=218.9727 acc=0.6690 step_time=0.132s gpu_mem=5911.3MB
step=6000 loss=16.2129 edge_loss=1.6949 device_loss=11.4154 align=225.5379 acc=0.6766 step_time=0.132s gpu_mem=5911.3MB
step=6100 loss=16.9725 edge_loss=1.6030 device_loss=11.0632 align=244.0679 acc=0.6627 step_time=0.132s gpu_mem=5911.3MB
step=6200 loss=16.1158 edge_loss=1.6026 device_loss=10.2287 align=231.6197 acc=0.6687 step_time=0.134s gpu_mem=5911.3MB
step=6300 loss=16.2090 edge_loss=1.6361 device_loss=11.7252 align=226.2125 acc=0.6391 step_time=0.133s gpu_mem=5911.3MB
step=6400 loss=15.8146 edge_loss=1.7154 device_loss=11.3217 align=217.0859 acc=0.6204 step_time=0.131s gpu_mem=5911.3MB
step=6500 loss=16.7962 edge_loss=1.7527 device_loss=12.0629 align=233.1519 acc=0.5736 step_time=0.132s gpu_mem=5911.3MB
