gpu_memory_MB,loss,lr,mode,selected_token_ratio,step,step_time,token_acc,top5_acc
2262.03564453125,6.718123435974121,0.0001,train_draft_refine_adapter,0.2047244094488189,1,0.23886442999355495,0.20192308723926544,0.317307710647583
2635.73095703125,7.437428951263428,0.0001,train_draft_refine_adapter,0.2047244094488189,2,0.05401437298860401,0.17307692766189575,0.29807692766189575
2635.73095703125,7.254155158996582,0.0001,train_draft_refine_adapter,0.20512820512820512,3,0.053830589007702656,0.10576923191547394,0.2788461744785309
2635.73095703125,7.619269847869873,0.0001,train_draft_refine_adapter,0.20392156862745098,4,0.05272125999908894,0.1538461595773697,0.25961539149284363
2635.73095703125,8.838136672973633,0.0001,train_draft_refine_adapter,0.20553359683794467,5,0.052719241997692734,0.08653846383094788,0.25
2635.73095703125,8.568605422973633,0.0001,train_draft_refine_adapter,0.20392156862745098,6,0.05399341299198568,0.13461539149284363,0.2788461744785309
2635.73095703125,8.836302757263184,0.0001,train_draft_refine_adapter,0.2047244094488189,7,0.05360040601226501,0.08653846383094788,0.17307692766189575
2635.73095703125,9.768250465393066,0.0001,train_draft_refine_adapter,0.20436507936507936,8,0.052807140004006214,0.08737864345312119,0.2330097109079361
2635.73095703125,8.430092811584473,0.0001,train_draft_refine_adapter,0.2043222003929273,9,0.053222749003907666,0.125,0.23076924681663513
2635.73095703125,9.699746131896973,0.0001,train_draft_refine_adapter,0.2035225048923679,10,0.05471531499642879,0.10576923191547394,0.19230769574642181
2635.73095703125,8.976577758789062,0.0001,train_draft_refine_adapter,0.20512820512820512,11,0.052752283998415805,0.16346155107021332,0.26923078298568726
2635.73095703125,8.490860939025879,0.0001,train_draft_refine_adapter,0.20315581854043394,12,0.054495656993822195,0.0776699036359787,0.13592232763767242
2635.73095703125,8.402827262878418,0.0001,train_draft_refine_adapter,0.2043222003929273,13,0.05259865600964986,0.10576923191547394,0.2211538553237915
