mode,seed,requested_refine_ratio,loss,ppl,final_acc,top5,correction_precision,correction_recall,wrong_edit_rate,preserve,refine_ratio,accept_rate,latency,communication_MB,wrong_to_correct,correct_to_wrong,wrong_to_wrong,correct_to_correct,wrong_to_correct_ratio,correct_to_wrong_ratio,wrong_to_wrong_ratio,correct_to_correct_ratio
gpt2_only,2,0.2,4.200203234261015,66.69988536543896,0.30233361631557126,0.506554658348305,0.0,0.0,0.0,1.0,0.0,0.0,0.013961551336105913,0.005859375,0,0,70675,30627,0.0,0.0,0.6976663836844288,0.30233361631557126
direct_draft_context,2,0.2,5.698090343705424,298.2972115597352,0.3038242088014057,0.46006989003178617,0.1490715491494611,0.03248673505482844,0.07003624253110001,0.9299637574689,1.0,1.0,0.0250294546654186,0.005859375,2296,2145,68379,28482,0.02266490296341632,0.021174310477581886,0.6750014807210124,0.28115930583798937
random_refine_mask,2,0.2,4.484904005897897,88.66843875725016,0.2831632149414622,0.4841661566405402,0.12561733774911393,0.03059073222497347,0.13399941228327947,0.8660005877167205,0.20421117055931767,1.0,0.02494055127070169,0.005859375,2162,4104,68513,26523,0.02134212552565596,0.04051252689976506,0.6763242581587727,0.26182108941580623
low_conf_refine,2,0.2,4.394424664115405,80.99801628917147,0.3182859173560246,0.5277980691397998,0.147502356267672,0.03985850725150336,0.03921376563163222,0.9607862343683677,0.20421117055931767,1.0,0.02518317048146855,0.005859375,2817,1201,67858,29426,0.02780794061321593,0.01185563957276263,0.6698584430712128,0.2904779767428086
draft_refine_adapter,2,0.2,4.792047166256666,120.5478978227639,0.320260212039249,0.5256559594085013,0.15417155088935325,0.042801556420233464,0.03947497306298364,0.9605250269370164,0.20421117055931767,1.0,0.02764307747638668,0.005859375,3025,1209,67650,29418,0.029861207083769322,0.011934611360091607,0.6678051766006594,0.29039900495547966
adapter_gate,2,0.2,4.7799452989749245,119.09783509296435,0.3210400584391226,0.5261100471856429,0.15755862646566166,0.0425893172974885,0.03640578574460444,0.9635942142553956,0.20421117055931767,0.9507903514284333,0.027691978846341954,0.005859375,3010,1115,67665,29512,0.029713134982527492,0.01100669285897613,0.6679532487019012,0.2913269234565951
oracle_refine_mask,2,0.2,4.42291767196955,83.33908709657673,0.32936171052891355,0.5172750784782136,0.1465660296558,0.038740714538379906,0.0,1.0,0.20421117055931767,1.0,0.025243958401697453,0.005859375,2738,0,67937,30627,0.027028094213342284,0.0,0.6706382894710865,0.30233361631557126
