mode,seed,requested_refine_ratio,loss,ppl,final_acc,top5,correction_precision,correction_recall,wrong_edit_rate,preserve,refine_ratio,accept_rate,latency,communication_MB,wrong_to_correct,correct_to_wrong,wrong_to_wrong,correct_to_correct,wrong_to_correct_ratio,correct_to_wrong_ratio,wrong_to_wrong_ratio,correct_to_correct_ratio
gpt2_only,0,0.2,4.200203234261015,66.69988536543896,0.30233361631557126,0.506554658348305,0.0,0.0,0.0,1.0,0.0,0.0,0.013928490250327741,0.005859375,0,0,70675,30627,0.0,0.0,0.6976663836844288,0.30233361631557126
direct_draft_context,0,0.2,5.698090343705424,298.2972115597352,0.3038242088014057,0.46006989003178617,0.1490715491494611,0.03248673505482844,0.07003624253110001,0.9299637574689,1.0,1.0,0.024727814300276804,0.005859375,2296,2145,68379,28482,0.02266490296341632,0.021174310477581886,0.6750014807210124,0.28115930583798937
random_refine_mask,0,0.2,4.489219164090958,89.05188381526372,0.2810803340506604,0.4828433792027798,0.11852451433857539,0.029006013441811106,0.1372318542462533,0.8627681457537467,0.20421117055931767,1.0,0.024884762080328072,0.005859375,2050,4203,68625,26424,0.020236520503050286,0.041489802767961145,0.6774298631813784,0.2608438135476101
low_conf_refine,0,0.2,4.394424664115405,80.99801628917147,0.3182859173560246,0.5277980691397998,0.147502356267672,0.03985850725150336,0.03921376563163222,0.9607862343683677,0.20421117055931767,1.0,0.024778860325459392,0.005859375,2817,1201,67858,29426,0.02780794061321593,0.01185563957276263,0.6698584430712128,0.2904779767428086
draft_refine_adapter,0,0.2,4.792047166256666,120.5478978227639,0.320260212039249,0.5256559594085013,0.15417155088935325,0.042801556420233464,0.03947497306298364,0.9605250269370164,0.20421117055931767,1.0,0.027241883360329667,0.005859375,3025,1209,67650,29418,0.029861207083769322,0.011934611360091607,0.6678051766006594,0.29039900495547966
adapter_gate,0,0.2,4.7799452989749245,119.09783509296435,0.3210400584391226,0.5261100471856429,0.15755862646566166,0.0425893172974885,0.03640578574460444,0.9635942142553956,0.20421117055931767,0.9507903514284333,0.027552465375774774,0.005859375,3010,1115,67665,29512,0.029713134982527492,0.01100669285897613,0.6679532487019012,0.2913269234565951
oracle_refine_mask,0,0.2,4.42291767196955,83.33908709657673,0.32936171052891355,0.5172750784782136,0.1465660296558,0.038740714538379906,0.0,1.0,0.20421117055931767,1.0,0.02518925256554212,0.005859375,2738,0,67937,30627,0.027028094213342284,0.0,0.6706382894710865,0.30233361631557126
