mode,seed,requested_refine_ratio,loss,ppl,final_acc,top5,correction_precision,correction_recall,wrong_edit_rate,preserve,refine_ratio,accept_rate,latency,communication_MB,wrong_to_correct,correct_to_wrong,wrong_to_wrong,correct_to_correct,wrong_to_correct_ratio,correct_to_wrong_ratio,wrong_to_wrong_ratio,correct_to_correct_ratio
random_refine_mask,7,0.4,4.958552641434692,142.3875608291863,0.24999506426329193,0.4412351187538252,0.09549482377907144,0.04711708524938097,0.28184281842818426,0.7181571815718157,0.40335827525616474,1.0,0.024855975399477755,0.005859375,3330,8632,67345,21995,0.03287200647568656,0.08521055852796589,0.6647943772087421,0.21712305778760538
low_conf_refine,7,0.4,4.570219330739552,96.56528718618449,0.3240212434107915,0.5218850565635427,0.1414929857031732,0.07463742483197736,0.1004995592124596,0.8995004407875404,0.40335827525616474,1.0,0.024772380628492102,0.005859375,5275,3078,65400,27549,0.052072022270044024,0.030384395174823796,0.6455943614143848,0.2719492211407475
draft_refine_adapter,7,0.4,5.602234707333178,271.03140704868287,0.3199936822570137,0.5096148151073029,0.13065039594963002,0.07119915104350902,0.10588696248408268,0.8941130375159173,0.40335827525616474,1.0,0.02739311229910527,0.005859375,5032,3243,65643,27384,0.049673254229926356,0.032013188288483936,0.6479931294545024,0.27032042802708733
adapter_gate,7,0.4,5.563070157120695,260.6217590355897,0.3215435035833448,0.5111054075931374,0.13337776592908557,0.07078882207286877,0.09981388970516211,0.9001861102948379,0.40335827525616474,0.9483615183182007,0.027449708809072035,0.005859375,5003,3057,65672,27570,0.049386981500858816,0.03017709423308523,0.6482794021835699,0.27215652208248603
oracle_refine_mask,7,0.4,4.511177997627144,91.02898730689154,0.3590649740380249,0.5161398590353596,0.15622366596895643,0.08131588256101875,0.0,1.0,0.40335827525616474,1.0,0.02493919822925818,0.005859375,5747,0,64928,30627,0.056731357722453656,0.0,0.640935025961975,0.30233361631557126
error_aware_refine,7,0.4,4.5723513834253025,96.77138909807522,0.3269826854356281,0.5252512289984403,0.1427053730312608,0.07602405376724443,0.09390407157083619,0.9060959284291638,0.40335827525616474,1.0,0.02489057979430072,0.005859375,5373,2876,65302,27751,0.053039426664823995,0.028390357544767132,0.6446269570196047,0.2739432587708041
error_aware_adapter,7,0.4,5.648013330306596,283.72723324213894,0.32059584213539716,0.51051311918817,0.1277780642499871,0.07012380615493456,0.10141378522218956,0.8985862147778104,0.40335827525616474,1.0,0.02736157548351912,0.005859375,4956,3106,65719,27521,0.04892302225030108,0.03066079643047521,0.6487433614341277,0.27167281988509606
error_aware_adapter_gate,7,0.4,5.6081153026269845,272.6299285879774,0.3219679769402381,0.5123294702967365,0.13013245908574148,0.06964273081004599,0.09576517451921507,0.9042348254807849,0.40335827525616474,0.9515675093610044,0.027301913223782323,0.005859375,4922,2933,65753,27694,0.04858739215415293,0.02895303152948609,0.6490789915302758,0.2733805847860852
utility_gate,7,0.4,5.588604318549825,267.3622067190717,0.3199936822570137,0.510187360565438,0.13065039594963002,0.07119915104350902,0.10588696248408268,0.8941130375159173,0.40335827525616474,0.9425858397983408,0.02732068751931365,0.005859375,5032,3243,65643,27384,0.049673254229926356,0.032013188288483936,0.6479931294545024,0.27032042802708733
