mode,seed,requested_refine_ratio,loss,ppl,final_acc,top5,correction_precision,correction_recall,wrong_edit_rate,preserve,refine_ratio,accept_rate,latency,communication_MB,wrong_to_correct,correct_to_wrong,wrong_to_wrong,correct_to_correct,wrong_to_correct_ratio,correct_to_wrong_ratio,wrong_to_wrong_ratio,correct_to_correct_ratio
random_refine_mask,7,0.05,4.263276665404327,71.04238461983978,0.29798029653906144,0.5022901818325404,0.13002826701456838,0.008461266360099045,0.03392431514676592,0.966075684853234,0.05525063671003534,1.0,0.024453180279160734,0.005859375,598,1039,70077,29588,0.00590314110284101,0.010256460879350851,0.6917632425815877,0.2920771554362204
low_conf_refine,7,0.05,4.3890574288197355,80.56444545643349,0.30674616493257784,0.5142149217192158,0.13076474022183304,0.009508312698974177,0.0073464590067587425,0.9926535409932412,0.05525063671003534,1.0,0.024431073649102474,0.005859375,672,225,70003,30402,0.0066336301356340445,0.00222108151862747,0.6910327535487947,0.3001125347969438
draft_refine_adapter,7,0.05,4.464858187270874,86.90870390532149,0.3067659078794101,0.5138496772028193,0.1289237668161435,0.009762999646268129,0.007868873869461586,0.9921311261305384,0.05525063671003534,1.0,0.027009230414405463,0.005859375,690,241,69985,30386,0.006811316657124243,0.002379025093285424,0.6908550670273045,0.29995459122228585
adapter_gate,7,0.05,4.463207932860639,86.76540070930149,0.3069041085072358,0.5138891630964838,0.1316548145300788,0.009692253272019809,0.007248506220001959,0.992751493779998,0.05525063671003534,0.9530105413614436,0.02703118874982465,0.005859375,685,222,69990,30405,0.006761959290043632,0.0021914670983791042,0.6909044243943852,0.3001421492171922
oracle_refine_mask,7,0.05,4.369161574165691,78.977387251119,0.3086414878284733,0.5135239185800873,0.12352600038662286,0.009041386628935267,0.0,1.0,0.05525063671003534,1.0,0.024507389699938358,0.005859375,639,0,70036,30627,0.006307871512902016,0.0,0.6913585121715268,0.30233361631557126
error_aware_refine,7,0.05,4.217787005955892,67.88309306270823,0.30911531855244717,0.5161003731416951,0.15354477611940298,0.011644853201273436,0.004440526332974173,0.9955594736670258,0.05525063671003534,1.0,0.024521775274697576,0.005859375,823,136,69852,30491,0.008124222621468481,0.0013425203845926043,0.6895421610629603,0.30099109593097867
error_aware_adapter,7,0.05,4.358460031782674,78.13671366915877,0.3107441116661073,0.5168407336479043,0.17642752562225475,0.013639900955076053,0.003656904038919907,0.9963430959610801,0.05525063671003534,1.0,0.02696232045949728,0.005859375,964,112,69711,30515,0.009516100373141696,0.001105605022605674,0.688150283311287,0.3012280112929656
error_aware_adapter_gate,7,0.05,4.357360386758544,78.05083824566519,0.31081321198002015,0.5168802195415688,0.17848546565450843,0.013639900955076053,0.003428347536487413,0.9965716524635125,0.05525063671003534,0.980346614257638,0.026858816589810885,0.005859375,964,105,69711,30522,0.009516100373141696,0.0010365047086928194,0.688150283311287,0.30129711160687844
utility_gate,7,0.05,4.465205014355667,86.93885142542617,0.3067659078794101,0.5138398057294031,0.1289237668161435,0.009762999646268129,0.007868873869461586,0.9921311261305384,0.05525063671003534,0.9562265499374665,0.02696171538977069,0.005859375,690,241,69985,30386,0.006811316657124243,0.002379025093285424,0.6908550670273045,0.29995459122228585
