mode,seed,requested_refine_ratio,loss,ppl,final_acc,top5,correction_precision,correction_recall,wrong_edit_rate,preserve,refine_ratio,accept_rate,latency,communication_MB,wrong_to_correct,correct_to_wrong,wrong_to_wrong,correct_to_correct,wrong_to_correct_ratio,correct_to_wrong_ratio,wrong_to_wrong_ratio,correct_to_correct_ratio
random_refine_mask,7,0.6,5.703794970827483,300.00374887480774,0.19737023948194507,0.3661132060571361,0.06602401551312649,0.050102582242660065,0.4627942664968818,0.5372057335031182,0.6037985429705238,1.0,0.02500892929507245,0.005859375,3541,14174,67134,16453,0.03495488736648832,0.13991826420011452,0.6627114963179405,0.16241535211545674
low_conf_refine,7,0.6,4.992791181810869,147.34712266970624,0.30347870723184145,0.47646640737596496,0.11729383506805445,0.09120622568093385,0.2066803800568126,0.7933196199431873,0.6037985429705238,1.0,0.02492138912457449,0.005859375,6446,6330,64229,24297,0.063631517640323,0.06248642672405283,0.6340348660441057,0.23984718959151843
draft_refine_adapter,7,0.6,6.765468191548384,867.3722090768209,0.2924423999526169,0.45605220035142446,0.10243613011308111,0.08305624336752741,0.22437718353087147,0.7756228164691286,0.6037985429705238,1.0,0.027750268419986242,0.005859375,5870,6872,64805,23755,0.05794554895263667,0.067836765315591,0.6397208347317921,0.23449685099998024
adapter_gate,7,0.6,6.687444330770401,802.269294970632,0.2956605002862727,0.4591617144775029,0.10426548767608786,0.08241952599929253,0.21226368890194927,0.7877363110980508,0.6037985429705238,0.9447732400353137,0.027813110215793132,0.005859375,5825,6501,64850,24126,0.05750133264891118,0.0641744486782097,0.6401650510355176,0.23815916763736156
oracle_refine_mask,7,0.6,4.657504703795643,105.37281744013636,0.3879192908333498,0.5100491599376122,0.15855643994211288,0.12401839405730457,0.0031018382472981355,0.9968981617527019,0.6037985429705238,1.0,0.025131595624770853,0.005859375,8765,95,61910,30532,0.08652346449231012,0.0009377899745315986,0.6111429191921186,0.3013958263410397
error_aware_refine,7,0.6,4.9905753939180615,147.02099414850227,0.3051667291859983,0.47655525063671006,0.11798516799332741,0.09206933144676335,0.20308877787573057,0.7969112221242695,0.6037985429705238,1.0,0.025027439794139354,0.005859375,6507,6220,64168,24407,0.06423367751870644,0.0614005646482794,0.6334327061657223,0.24093305166729187
error_aware_adapter,7,0.6,6.788319519793692,887.42101463412,0.29443643758267357,0.4562002724526663,0.10415435424995655,0.08478245489918641,0.22176510921735723,0.7782348907826427,0.6037985429705238,1.0,0.0275306582506164,0.005859375,5992,6792,64683,23835,0.059149868709403565,0.06704704744230124,0.6385165149750252,0.23528656887327
error_aware_adapter_gate,7,0.6,6.714072198915433,823.9189792444033,0.2972103216126039,0.45908274269017396,0.10611888734551413,0.0843155288291475,0.21151271753681392,0.7884872824631861,0.6037985429705238,0.9457868750613085,0.02748287979484303,0.005859375,5959,6478,64716,24149,0.05882411008667154,0.0639474047896389,0.6388422735977572,0.23838621152593237
utility_gate,7,0.6,6.721349419715461,829.9366891223398,0.2924423999526169,0.45790803735365543,0.10243613011308111,0.08305624336752741,0.22437718353087147,0.7756228164691286,0.6037985429705238,0.9368603472517412,0.027642808339660405,0.005859375,5870,6872,64805,23755,0.05794554895263667,0.067836765315591,0.6397208347317921,0.23449685099998024
