block_size,draft_context_loss,gpu_memory_MB,lora_training_mode,loss,lr,refine_ratio,selected_token_ratio,step,step_time,token_acc,top5_acc
4,2.831951856613159,1982.0947265625,random_mask,2.831951856613159,0.0001,0.2,0.16996047430830039,1,0.24192516086623073,0.4767441749572754,0.7093023061752319
4,2.12872576713562,1993.7197265625,random_mask,2.12872576713562,0.0001,0.2,0.13214990138067062,2,0.035810950212180614,0.5970149040222168,0.8059701323509216
4,3.2657113075256348,1993.7197265625,random_mask,3.2657113075256348,0.0001,0.2,0.148,3,0.03470565378665924,0.4729729890823364,0.7837837934494019
4,2.5161049365997314,1993.7197265625,random_mask,2.5161049365997314,0.0001,0.2,0.15913555992141454,4,0.10274413786828518,0.5432099103927612,0.6913580298423767
4,2.1800284385681152,1998.2197265625,random_mask,2.1800284385681152,0.0001,0.2,0.14566929133858267,5,0.03425418911501765,0.45945948362350464,0.7702702879905701
4,2.152569055557251,2002.7197265625,random_mask,2.152569055557251,0.0001,0.2,0.14960629921259844,6,0.03470978792756796,0.6052631735801697,0.7894737124443054
4,2.7774791717529297,2002.7197265625,random_mask,2.7774791717529297,0.0001,0.2,0.13806706114398423,7,0.034672035835683346,0.48571428656578064,0.6428571343421936
4,2.2763962745666504,2002.7197265625,random_mask,2.2763962745666504,0.0001,0.2,0.1600790513833992,8,0.03482721792533994,0.5432099103927612,0.7777777910232544
4,3.8731706142425537,1998.2197265625,random_mask,3.8731706142425537,0.0001,0.2,0.14031620553359683,9,0.03425065893679857,0.49295774102211,0.7042253613471985
4,3.157113790512085,2002.7197265625,random_mask,3.157113790512085,0.0001,0.2,0.16966067864271456,10,0.03474676189944148,0.3764705955982208,0.6470588445663452
4,2.6130475997924805,2002.7197265625,random_mask,2.6130475997924805,0.0001,0.2,0.1752988047808765,11,0.03475326905027032,0.6590909361839294,0.8409091234207153
4,2.316262722015381,2002.7197265625,random_mask,2.316262722015381,0.0001,0.2,0.14919354838709678,12,0.03472883626818657,0.5945945978164673,0.7162162065505981
4,3.0933291912078857,1998.2197265625,random_mask,3.0933291912078857,0.0001,0.2,0.13188976377952755,13,0.03415201371535659,0.5223880410194397,0.6716417670249939
4,2.892216205596924,2002.7197265625,random_mask,2.892216205596924,0.0001,0.2,0.15551181102362205,14,0.03471416188403964,0.5189873576164246,0.7848101258277893
4,2.7403924465179443,2002.7197265625,random_mask,2.7403924465179443,0.0001,0.2,0.1761252446183953,15,0.03479834832251072,0.5111111402511597,0.7111111283302307
4,2.8045949935913086,2002.7197265625,random_mask,2.8045949935913086,0.0001,0.2,0.14428857715430862,16,0.03458315506577492,0.5277777910232544,0.7222222089767456
4,2.576626777648926,1998.2197265625,random_mask,2.576626777648926,0.0001,0.2,0.12573673870333987,17,0.03406569687649608,0.515625,0.703125
4,2.451422929763794,2002.7197265625,random_mask,2.451422929763794,0.0001,0.2,0.13827655310621242,18,0.0345952520146966,0.52173912525177,0.7101449370384216
4,3.2746782302856445,2002.7197265625,random_mask,3.2746782302856445,0.0001,0.2,0.14145383104125736,19,0.03568188799545169,0.5138888955116272,0.75
4,2.5414090156555176,2002.7197265625,random_mask,2.5414090156555176,0.0001,0.2,0.12352941176470589,20,0.03453809767961502,0.4761905074119568,0.6984127163887024
4,4.093131065368652,1998.2197265625,random_mask,4.093131065368652,0.0001,0.2,0.13555992141453832,21,0.03413634095340967,0.5507246255874634,0.782608687877655
4,3.4427642822265625,2002.7197265625,random_mask,3.4427642822265625,0.0001,0.2,0.17391304347826086,22,0.034712936263531446,0.5454545617103577,0.6818181872367859
4,2.88128662109375,2002.7197265625,random_mask,2.88128662109375,0.0001,0.2,0.1349206349206349,23,0.03456444200128317,0.4852941334247589,0.6029411554336548
4,3.0953400135040283,2002.7197265625,random_mask,3.0953400135040283,0.0001,0.2,0.14931237721021612,24,0.034536306746304035,0.4868420958518982,0.7368420958518982
